code,grade,capacity_gb
H9HQO?AECMMD,A+++ 256,256
KM2B8001CM,A+++ 256,256
KM8F8001M,A+++ 256,256
KMSF9001M,A+++ 256,256
H9QT01G6DN6,A+++ 256,256
H9HP16AECMMDAR,A+++ 128,128
H9HQ1SAFAMBD,A+++ 128,128
H9HQ16AFAMMDAR,A+++ 128,128
H9QTQ6C6N6,A+++ 128,128
H9QTQ6ECN6,A+++ 128,128
JZ103,A+++ 128,128
JZ150,A+++ 128,128
JZ151,A+++ 128,128
JZ152,A+++ 128,128
JZ187,A+++ 128,128
JZ266,A+++ 128,128
JZ385,A+++ 128,128
JZ386,A+++ 128,128
JZ387,A+++ 128,128
KM2L9001CM,A+++ 128,128
KM2V7001CM,A+++ 128,128
KM3V6001CA,A+++ 128,128
KM3V6001CB,A+++ 128,128
KM3V6001CM,A+++ 128,128
KMSL9000CM,A+++ 128,128
KMSV7001DM,A+++ 128,128
KM8L9001A,A+++ 128,128
KM8L9001DM,A+++ 128,128
KM8V7001JM,A+++ 128,128
KM8V8001M,A+++ 128,128
KMDL6001DA,A+++ 128,128
KMDV6001DB,A+++ 128,128
KMDV6001DM,A+++ 128,128
KMVV50017M,A+++ 128,128
SDNBD44-128G,A+++ 128,128
H9AG9G5ANB,A+++ 64,64
H9HP52ACPMD,A+++ 64,64
H9HP52ADAMAD,A+++ 64,64
H9HP52AECMMD,A+++ 64,64
H9HP53ACPMMD,A+++ 64,64
H9HQ53ADAMMD,A+++ 64,64
H9TQ52ACLMC,A+++ 64,64
H9TQ53ACLMC,A+++ 64,64
JZ049,A+++ 64,64
JZ052,A+++ 64,64
JZ053,A+++ 64,64
JZ090,A+++ 64,64
JZ109,A+++ 64,64
JZ128,A+++ 64,64
JZ168,A+++ 64,64
JZ177,A+++ 64,64
JZ186,A+++ 64,64
JZ481,A+++ 64,64
KM2H7001CM,A+++ 64,64
KM3H6001CA,A+++ 64,64
KM3H6001CM,A+++ 64,64
KMSC7001DM,A+++ 64,64
KMSH7001DM,A+++ 64,64
KMSP8001DM,A+++ 64,64
KMDC6001DM,A+++ 64,64
KMDH6001DA,A+++ 64,64
KMDH6001DM,A+++ 64,64
KMDP6001DA,A+++ 64,64
KMDP6001DB,A+++ 64,64
KMGP6001BM,A+++ 64,64
KMRC10014M,A+++ 64,64
KMRH60014A,A+++ 64,64
KMRH60014M,A+++ 64,64
KMRP60014M,A+++ 64,64
KMWC10016M,A+++ 64,64
KMWC10017M,A+++ 64,64
H9AGSGDMNB,A+++ 3/32,32
H9HP26ACPMMD,A+++ 3/32,32
H9HP27ADAMAD,A+++ 3/32,32
H9TQ26ACLTMCUR,A+++ 3/32,32
H9TQ26ADFTACUR,A+++ 3/32,32
H9TQ26ADFTBCUR,A+++ 3/32,32
H9TQ27ADFTMCUR,A+++ 3/32,32
KM4X60002M,A+++ 3/32,32
KMDD60018M,A+++ 3/32,32
KMDX60018M,A+++ 3/32,32
KMGD6001BM,A+++ 3/32,32
KMGX6001BM,A+++ 3/32,32
KMR21000BM,A+++ 3/32,32
KMRD60014M,A+++ 3/32,32
KMRX1000BM,A+++ 3/32,32
KMRX10014M,A+++ 3/32,32
H9HP27ABUMMD,A++ 2/32,32
H9TQ26ABJMCUR,A++ 2/32,32
H9TQ26ABJDMCUR,A++ 2/32,32
JZ013,A++ 2/32,32
JZ018,A++ 2/32,32
JZ050,A++ 2/32,32
JZ083,A++ 2/32,32
KM4X6001KM,A++ 2/32,32
KM14Z000MM,A++ 2/32,32
KMQ4Z0013M,A++ 2/32,32
KMQD60013M,A++ 2/32,32
KMQX10013M,A++ 2/32,32
KMR4Z0001A,A++ 2/32,32
KMR4Z0001M,A++ 2/32,32
NW27ADGTMC-18,A++ 2/32,32
SDADL28P-32G,A++ 2/32,32
TYROHH31667RB,A++ 2/32,32
H9TQ17ABJTACUR,A++ 16A,16
H9TQ17ABJTBCUR,A++ 16A,16
H9TQ17ABJTCUR,A++ 16A,16
H9TQ17ADFTACUR,A++ 16A,16
H9TQ17ADFTMCUR,A++ 16A,16
H9TQ18ABJTMCUR,A++ 16A,16
JZ025,A++ 16A,16
KMGE6001BM,A++ 16A,16
KMQ310013M,A++ 16A,16
KMQS20013M,A++ 16A,16
KMQE10013M,A++ 16A,16
KMQE60013M,A++ 16A,16
KMR310001M,A++ 16A,16
KMR31000BA,A++ 16A,16
KMRS20001M,A++ 16A,16
KMRS8X0001A,A++ 16A,16
KMRSX0001M,A++ 16A,16
KMRE1000BM,A++ 16A,16
KMQ310013B,A++ 16A,16
16EMCP16-EL3BT527,A++ 16B / A+,16
16EMCP16-EL3CV100,A++ 16B / A+,16
16EMCP16-EL3DT527,A++ 16B / A+,16
16EMCP16-ML3BM500,A++ 16B / A+,16
16EMCP16-NL3DT527,A++ 16B / A+,16
16EMCP16-NL3E527,A++ 16B / A+,16
JY932,A++ 16B / A+,16
JY950,A++ 16B / A+,16
JZ025,A++ 16B / A+,16
SDADF4AP-16G,A++ 16B / A+,16
SDADL2AP-16G,A++ 16B / A+,16
TYEQHH21657RA,A++ 16B / A+,16
TYEQHH21658RA,A++ 16B / A+,16
TYEQHH21659RA,A++ 16B / A+,16
H9TP17ABLDMC,A+B,
H9TP18ASJDMC,A+B,
KMF310012M,A+B,
KMF520012M,A+B,
KMFE10012M,A+B,
KMFE60012M,A+B,
KMFSU000VM,A+B,
KMFSX000VM,A+B,
16EMCP08-EL3BT527,A+,
H9TP64-dst,A+,
H9TP65-dst,A+,
H9TQ64ASGTACUR,A+,
H9TQ64ABGTMCUR,A+,
H9TQ64ABJTMCUR,A+,
JWA60,A+,
SD9DS28K-8G,A+,
KMF720012M,A+,
KMFN10012M,A+,
KMFN60012M,A+,
KMFNX10012M,A+,
KM12U000MA,A+,
KM18U000MA,A+,
KM18X000MM,A+,
KMK3U000VM,A+,
KMK7X000VM,A+,
KMQ310006A,A+,
KMQ310006B,A+,
KMQ310006M,A+,
KMQ310005M,A+,
KMQ72000SM,A+,
KMQ7X000SA,A+,
KMQ7X000SM,A+,
KMQ82000SM,A+,
KMQN1000SM,A+,
KMQN10013M,A+,
KMR7X0001M,A+,
KMRN10001M,A+,
CBE06-2560CHAC,Pilihan 256,256
JZ242,Pilihan 256,256
KLUEGSUIEA,Pilihan 256,256
KLUEGSUHDB,Pilihan 256,256
KLUEGSUHDC,Pilihan 256,256
BWCTAK21X128G,Pilihan 128,128
FEMDNN128G-A3A56,Pilihan 128,128
H26T87001CMR,Pilihan 128,128
HAC09-1250BRAC,Pilihan 128,128
HNST061ZGK,Pilihan 128,128
HNST062EHK,Pilihan 128,128
JZ380,Pilihan 128,128
JZ496,Pilihan 128,128
JZ144,Pilihan 128,128
KLMDG4UCTA,Pilihan 128,128
KLMDG4UCTB,Pilihan 128,128
KLUDG4UIEA,Pilihan 128,128
KLUDG4UHDB,Pilihan 128,128
KLUDG8IIEB,Pilihan 128,128
KLUDGAGIBD,Pilihan 128,128
PTE8A0HR-X28E,Pilihan 128,128
SDINADFA-128,Pilihan 128,128
THGAFSG9T43BAIR,Pilihan 128,128
